date,price,volume,company
2015-04-20,$42.905,46051240,MSFT
2015-04-21,$31.7275,129365520,AAPL
2015-04-21,$27.1462,29121480,GOOGL
2015-04-21,$83.62,26824310,META
2015-04-21,$42.635,26004920,MSFT
2015-04-22,$32.155,150301680,AAPL
2015-04-22,$27.459,31767060,GOOGL
2015-04-22,$84.63,43286780,META
2015-04-22,$42.985,25032050,MSFT
2015-04-23,$32.4175,182386760,AAPL
2015-04-23,$27.873,76643100,GOOGL
2015-04-23,$82.41,73607220,META
2015-04-23,$43.34,45445510,MSFT
2015-04-24,$32.57,176838840,AAPL
2015-04-24,$28.683,92162340,GOOGL
2015-04-24,$81.53,29617390,META
2015-04-24,$47.87,130885200,MSFT
2015-04-27,$33.1625,380337040,AAPL
2015-04-27,$28.306,47973140,GOOGL
2015-04-27,$81.91,25401050,META
2015-04-27,$48.03,58950840,MSFT
2015-04-28,$32.64,474774800,AAPL
2015-04-28,$28.2185,37195000,GOOGL
2015-04-28,$80.68,23724520,META
2015-04-28,$49.155,59860670,MSFT
2015-04-29,$32.16,252252960,AAPL
2015-04-29,$28.0695,33617840,GOOGL
2015-04-29,$80.465,26400340,META
2015-04-29,$49.06,47665440,MSFT
2015-04-30,$31.2875,331699920,AAPL
2015-04-30,$27.4385,47187140,GOOGL
2015-04-30,$78.77,28924470,META
2015-04-30,$48.64,64127280,MSFT
2015-05-01,$32.2375,229396000,AAPL
2015-05-01,$27.558,34615160,GOOGL
2015-05-01,$78.99,22811310,META
2015-05-01,$48.655,36432670,MSFT
2015-05-04,$32.175,203620080,AAPL
2015-05-04,$27.642,35016100,GOOGL
2015-05-04,$78.81,14664320,META
2015-05-04,$48.24,33986240,MSFT
2015-05-05,$31.45,196511080,AAPL
2015-05-05,$27.1522,28457240,GOOGL
2015-05-05,$77.56,22243130,META
2015-05-05,$47.60,50364250,MSFT
2015-05-06,$31.2525,288149480,AAPL
2015-05-06,$26.754,38974820,GOOGL
2015-05-06,$78.10,28610160,META
2015-05-06,$46.28,52416760,MSFT
2015-05-07,$31.315,170615680,AAPL
2015-05-07,$27.102,31800060,GOOGL
2015-05-07,$78.425,19727740,META
2015-05-07,$46.70,32940820,MSFT
2015-05-08,$31.905,221895280,AAPL
2015-05-08,$27.4475,28220940,GOOGL
2015-05-08,$78.51,19921440,META
2015-05-08,$47.75,35060430,MSFT
2015-05-11,$31.58,167682960,AAPL
2015-05-11,$27.289,21830060,GOOGL
2015-05-11,$78.01,18826100,META
2015-05-11,$47.37,24608910,MSFT
2015-05-12,$31.4662,192293800,AAPL
2015-05-12,$26.9365,35253060,GOOGL
2015-05-12,$77.46,21249920,META
2015-05-12,$47.35,29927160,MSFT
2015-05-13,$31.5025,138446400,AAPL
2015-05-13,$26.9745,24232600,GOOGL
2015-05-13,$78.44,21485710,META
2015-05-13,$47.625,34182750,MSFT
2015-05-14,$32.2375,180495680,AAPL
2015-05-14,$27.46,31663640,GOOGL
2015-05-14,$81.37,49376110,META
2015-05-14,$48.72,32956260,MSFT
2015-05-15,$32.1925,152513880,AAPL
2015-05-15,$27.3245,33380560,GOOGL
2015-05-15,$80.42,27029540,META
2015-05-15,$48.295,28628370,MSFT
2015-05-18,$32.5475,202892960,AAPL
2015-05-18,$27.3335,26677900,GOOGL
2015-05-18,$80.88,21560230,META
2015-05-18,$48.01,23918020,MSFT
2015-05-19,$32.5175,177581760,AAPL
2015-05-19,$27.464,47090900,GOOGL
2015-05-19,$80.63,17943450,META
2015-05-19,$47.58,28181300,MSFT
2015-05-20,$32.515,145044680,AAPL
2015-05-20,$27.6255,30809860,GOOGL
2015-05-20,$80.55,23024330,META
2015-05-20,$47.58,25035330,MSFT
2015-05-21,$32.8475,158359120,AAPL
2015-05-21,$27.8405,34143020,GOOGL
2015-05-21,$80.48,13376150,META
2015-05-21,$47.42,22399100,MSFT
